workflow_id,specialty_id,chief_complaint,diagnosis,history_layout_id,icd_system,icd_code,icd_label,icd_verified,icd_source,chip_groups,min_sections,age_min_months,age_max_years,sex
gp-palpitations,General Medicine / GP,Palpitations,Arrhythmia workup,General Medicine / GP,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
gp-shortness-of-breath,General Medicine / GP,Shortness of breath,Referred,General Medicine / GP,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
gp-hypertension-followup,General Medicine / GP,Hypertension follow-up,Essential hypertension,General Medicine / GP,ICD-10-CM,I10,Essential hypertension,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,vitals_exam",,,
gp-diabetes-followup,General Medicine / GP,Diabetes follow-up,Type 2 diabetes mellitus,General Medicine / GP,ICD-10-CM,E11.9,Type 2 diabetes without complications,FALSE,,"exam_findings,investigations,plan_phrases,follow_up","hpi,vitals_exam",,,
gp-thyroid-followup,General Medicine / GP,Thyroid follow-up,Hypothyroidism,General Medicine / GP,,,,FALSE,,"symptoms,plan_phrases,follow_up",hpi,,,
gp-dyslipidemia-followup,General Medicine / GP,Dyslipidemia follow-up,Hyperlipidemia,General Medicine / GP,,,,FALSE,,"plan_phrases,follow_up",hpi,,,
gp-lab-result-review,General Medicine / GP,Lab result review,Various,General Medicine / GP,,,,FALSE,,"plan_phrases,follow_up",hpi,,,
peds-fever,Pediatrics,Fever,Viral fever,Pediatrics,ICD-10-CM,R50.9,Fever,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,3,,
peds-cough,Pediatrics,Cough / cold,URTI / bronchiolitis,Pediatrics,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
peds-vomiting-diarrhea,Pediatrics,Vomiting / diarrhea,Acute gastroenteritis,Pediatrics,ICD-10-CM,K52.9,Noninfective gastroenteritis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,feeding,hydration_assessment",,,
peds-rash,Pediatrics,Rash,Viral exanthem,Pediatrics,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
peds-poor-feeding,Pediatrics,Poor feeding,Feeding difficulty,Pediatrics,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,feeding,growth",,,
peds-ear-pain,Pediatrics,Ear pain,Acute otitis media,Pediatrics,ICD-10-CM,H66.9,Otitis media,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
peds-abdominal-pain,Pediatrics,Abdominal pain,Constipation / referred,Pediatrics,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
peds-routine-followup,Pediatrics,Routine pediatric follow-up,Well child check,Pediatrics,,,,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,growth,development,immunization",,,
peds-vaccination,Pediatrics,Vaccination visit,Immunization,Pediatrics,,,,FALSE,,plan_phrases,immunization,,,
peds-growth-concern,Pediatrics,Growth concern,Failure to thrive,Pediatrics,,,,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,growth,feeding",,,
peds-development-concern,Pediatrics,Developmental concern,Developmental delay,Pediatrics,,,,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,development,growth",,,
peds-school-note,Pediatrics,School / sick note,Administrative,Pediatrics,,,,FALSE,,plan_phrases,hpi,,,
obgyn-antenatal-followup,OB/GYN,Antenatal follow-up,Pregnancy follow-up,OB/GYN,ICD-10-CM,Z34.90,Normal pregnancy supervision,FALSE,,"exam_findings,investigations,plan_phrases,follow_up","hpi,obstetric,antenatal",,,female
obgyn-pelvic-pain,OB/GYN,Pelvic pain,PID / adnexal,OB/GYN,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up","hpi,menstrual,gynecologic",,,female
obgyn-irregular-bleeding,OB/GYN,Irregular bleeding,Dysfunctional uterine bleeding,OB/GYN,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up","hpi,menstrual,gynecologic",,,female
obgyn-vaginal-discharge,OB/GYN,Vaginal discharge,Candidiasis / BV,OB/GYN,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up","hpi,menstrual,sexual",,,female
obgyn-contraception,OB/GYN,Contraception counseling,Contraception,OB/GYN,,,,FALSE,,"symptoms,plan_phrases","hpi,menstrual,gynecologic",,,female
obgyn-dysmenorrhea,OB/GYN,Dysmenorrhea,Primary dysmenorrhea,OB/GYN,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,menstrual",,,female
obgyn-postnatal-followup,OB/GYN,Postnatal follow-up,Postnatal care,OB/GYN,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,obstetric",,,female
obgyn-early-pregnancy,OB/GYN,Early pregnancy symptoms,Early pregnancy,OB/GYN,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up","hpi,obstetric,menstrual",,,female
obgyn-menopause,OB/GYN,Menopause symptoms,Perimenopause,OB/GYN,,,,FALSE,,"symptoms,relevant_negatives,plan_phrases,follow_up","hpi,menstrual,gynecologic",,,female
obgyn-fertility,OB/GYN,Fertility concern,Fertility workup,OB/GYN,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,menstrual,gynecologic,sexual",,,female
msk-low-back-pain,Orthopedics / MSK,Low back pain,Mechanical back pain,Orthopedics / MSK,ICD-10-CM,M54.5,Low back pain,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-neck-pain,Orthopedics / MSK,Neck pain,Cervical strain,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-knee-pain,Orthopedics / MSK,Knee pain,Osteoarthritis,Orthopedics / MSK,ICD-10-CM,M17.9,Knee osteoarthritis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-shoulder-pain,Orthopedics / MSK,Shoulder pain,Rotator cuff injury,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-hip-pain,Orthopedics / MSK,Hip pain,Osteoarthritis,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-ankle-pain,Orthopedics / MSK,Ankle / foot pain,Sprain / plantar fasciitis,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-wrist-hand-pain,Orthopedics / MSK,Wrist / hand pain,Carpal tunnel / strain,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-acute-sprain,Orthopedics / MSK,Acute sprain,Ligament injury,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,pain_history,examination_focused,gait",,,
msk-fracture-followup,Orthopedics / MSK,Fracture follow-up,Healing fracture,Orthopedics / MSK,,,,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,imaging,examination_focused",,,
msk-post-op-followup,Orthopedics / MSK,Post-op follow-up,Post-surgical,Orthopedics / MSK,,,,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,examination_focused,occupation",,,
msk-osteoarthritis-followup,Orthopedics / MSK,Osteoarthritis follow-up,Osteoarthritis,Orthopedics / MSK,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,pain_history,examination_focused",,,
msk-sports-injury,Orthopedics / MSK,Sports injury,Acute sports injury,Orthopedics / MSK,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_history,examination_focused,gait,occupation",,,
ent-ear-pain,ENT,Ear pain,Acute otitis media / OE,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,ear,examination",,,
ent-hearing-complaint,ENT,Hearing complaint,Conductive / sensorineural,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,ear,examination",,,
ent-tinnitus,ENT,Tinnitus,Tinnitus,ENT,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,ear,examination",,,
ent-dizziness-vertigo,ENT,Dizziness / vertigo,BPPV / vestibular,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,dizziness,ear,examination",,,
ent-nasal-congestion,ENT,Nasal congestion,Allergic rhinitis,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,nasal,examination",,,
ent-sinus-symptoms,ENT,Sinus symptoms,Sinusitis,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,nasal,examination",,,
ent-sore-throat,ENT,Sore throat,Strep pharyngitis,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up","hpi,throat,examination",,,
ent-voice-complaint,ENT,Voice complaint,Laryngitis,ENT,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,throat,examination",,,
derm-rash,Dermatology,Rash,Contact dermatitis / eczema,Dermatology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,lesion_history,examination",,,
derm-acne,Dermatology,Acne,Acne vulgaris,Dermatology,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,lesion_history,examination",,,
derm-eczema,Dermatology,Eczema / dermatitis,Atopic dermatitis,Dermatology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,lesion_history,triggers,examination",,,
derm-fungal-infection,Dermatology,Fungal infection,Tinea / candidiasis,Dermatology,,,,FALSE,,"symptoms,exam_findings,red_flags,plan_phrases,follow_up","hpi,lesion_history,examination",,,
derm-urticaria,Dermatology,Urticaria,Acute urticaria,Dermatology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,lesion_history,triggers,examination",,,
derm-wound-review,Dermatology,Wound review,Wound / post-procedure,Dermatology,,,,FALSE,,"exam_findings,plan_phrases,follow_up","hpi,examination",,,
derm-skin-lesion-review,Dermatology,Skin lesion review,Benign / suspicious lesion,Dermatology,,,,FALSE,,"symptoms,exam_findings,red_flags,plan_phrases,follow_up","hpi,lesion_history,examination",,,
derm-hair-loss,Dermatology,Hair loss,Alopecia,Dermatology,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,lesion_history,examination",,,
ophth-red-eye,Ophthalmology,Red eye,Conjunctivitis,Ophthalmology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,visual,pain_redness,examination",,,
ophth-eye-pain,Ophthalmology,Eye pain,Keratitis / corneal abrasion,Ophthalmology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,pain_redness,examination",,,
ophth-vision-change,Ophthalmology,Vision change,Refractive / cataract,Ophthalmology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,visual,examination",,,
ophth-eye-discharge,Ophthalmology,Eye discharge,Conjunctivitis,Ophthalmology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,pain_redness,examination",,,
ophth-contact-lens-complaint,Ophthalmology,Contact lens-related complaint,Contact lens complication,Ophthalmology,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up","hpi,trauma_cl,examination",,,
ophth-eye-trauma,Ophthalmology,Eye trauma,Ocular trauma,Ophthalmology,,,,FALSE,,"symptoms,exam_findings,red_flags,plan_phrases,follow_up","hpi,trauma_cl,examination",,,
psych-anxiety,Psychiatry / Mental Health,Anxiety,Generalized anxiety disorder,Psychiatry / Mental Health,,,,FALSE,,"symptoms,relevant_negatives,red_flags,plan_phrases,follow_up","hpi,mood,risk",,,
psych-low-mood,Psychiatry / Mental Health,Low mood,Major depressive episode,Psychiatry / Mental Health,,,,FALSE,,"symptoms,relevant_negatives,red_flags,plan_phrases,follow_up","hpi,mood,risk",,,
psych-sleep-difficulty,Psychiatry / Mental Health,Sleep difficulty,Primary insomnia,Psychiatry / Mental Health,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,plan_phrases,follow_up","hpi,mood",,,
psych-stress-symptoms,Psychiatry / Mental Health,Stress-related symptoms,Adjustment disorder,Psychiatry / Mental Health,,,,FALSE,,"symptoms,red_flags,plan_phrases,follow_up","hpi,mood,risk",,,
psych-panic-symptoms,Psychiatry / Mental Health,Panic symptoms,Panic disorder,Psychiatry / Mental Health,,,,FALSE,,"symptoms,relevant_negatives,red_flags,plan_phrases,follow_up","hpi,mood,risk",,,
psych-medication-followup,Psychiatry / Mental Health,Medication follow-up,Psychiatric medication review,Psychiatry / Mental Health,,,,FALSE,,"symptoms,exam_findings,plan_phrases,follow_up","hpi,mood,past_psych",,,
urgent-minor-trauma,Emergency / Urgent Care,Minor trauma,Minor injury documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-wound-care-laceration,Emergency / Urgent Care,Wound care / laceration,Wound documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
urgent-burn-assessment,Emergency / Urgent Care,Burn assessment,Burn documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-allergic-reaction,Emergency / Urgent Care,Allergic reaction,Allergy documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
urgent-head-injury,Emergency / Urgent Care,Head injury,Head injury documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-chest-pain,Emergency / Urgent Care,Chest pain,Chest pain documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-shortness-of-breath,Emergency / Urgent Care,Shortness of breath,Shortness of breath documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-abdominal-pain,Emergency / Urgent Care,Abdominal pain,Abdominal pain documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-syncope,Emergency / Urgent Care,Syncope,Syncope documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
urgent-fever-suspected-infection,Emergency / Urgent Care,Fever / Suspected infection,Infection documentation,General Medicine / GP,,,unverified,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
